Customer_ID,Gender,SeniorCitizen,Tenure_Months,Plan_Type,Monthly_Charges,Contract,Payment_Method,InternetService,Support_Tickets,Is_Churned
C0001,Male,0,52,Prepaid,332,Month-to-month,Credit Card,Fiber,6,1
C0002,Female,0,4,Postpaid,1060,2-year,Credit Card,DSL,5,1
C0003,Male,0,34,Prepaid,530,Month-to-month,Credit Card,Fiber,3,0
C0004,Male,1,5,Prepaid,415,Month-to-month,UPI,Fiber,6,1
C0005,Male,0,33,Prepaid,492,Month-to-month,UPI,Fiber,7,1
C0006,Female,0,57,Prepaid,413,Month-to-month,Debit Card,DSL,5,1
C0007,Male,1,5,Prepaid,573,Month-to-month,Credit Card,Fiber,5,1
C0008,Male,0,38,Postpaid,1299,2-year,Debit Card,DSL,4,1
C0009,Male,0,34,Prepaid,288,Month-to-month,Debit Card,Fiber,4,1
C0010,Female,1,58,Postpaid,1228,1-year,UPI,DSL,0,1
C0011,Male,0,26,Prepaid,377,Month-to-month,Credit Card,DSL,6,1
C0012,Male,1,1,Prepaid,371,Month-to-month,Credit Card,Fiber,7,1
C0013,Male,0,4,Prepaid,496,Month-to-month,Credit Card,DSL,2,1
C0014,Male,0,39,Prepaid,435,Month-to-month,Credit Card,Fiber,0,0
C0015,Female,0,54,Prepaid,457,Month-to-month,Cash,DSL,0,1
C0016,Male,1,26,Prepaid,564,Month-to-month,Debit Card,DSL,1,0
C0017,Female,0,33,Postpaid,1271,2-year,Cash,Fiber,2,1
C0018,Female,0,33,Prepaid,488,Month-to-month,UPI,Fiber,1,0
C0019,Female,0,8,Prepaid,464,Month-to-month,UPI,Fiber,5,1
C0020,Male,0,20,Prepaid,541,Month-to-month,UPI,None,7,1
C0021,Female,0,16,Prepaid,473,Month-to-month,UPI,Fiber,4,1
C0022,Male,0,21,Prepaid,337,Month-to-month,Credit Card,DSL,5,1
C0023,Female,0,45,Prepaid,274,Month-to-month,Credit Card,DSL,1,0
C0024,Female,0,55,Prepaid,469,Month-to-month,Credit Card,DSL,4,1
C0025,Female,0,56,Prepaid,524,Month-to-month,Cash,Fiber,0,0
C0026,Female,0,26,Postpaid,993,2-year,Cash,Fiber,7,0
C0027,Female,0,23,Prepaid,482,Month-to-month,UPI,Fiber,7,1
C0028,Female,1,18,Prepaid,315,Month-to-month,Debit Card,Fiber,5,1
C0029,Female,0,31,Postpaid,962,1-year,Credit Card,Fiber,1,0
C0030,Female,1,52,Postpaid,914,2-year,Credit Card,Fiber,5,0
C0031,Male,0,42,Postpaid,1257,1-year,Debit Card,Fiber,2,1
C0032,Male,0,12,Prepaid,395,Month-to-month,UPI,Fiber,7,1
